Id,Label,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
1328,Reliance Retail,"Mumbai, Maharashtra, India",Active,For Profit,2.0,2.0,,,8.0,8.0,"Commerce and Shopping, Consumer Goods, Food and Beverage","Consumer Goods, Grocery, Retail",6.0,Private Equity,2020-11-06,95550000000.0,INR,1291545211.0,Private Equity,Private Equity,95550000000.0,INR,1291545211.0,6419310306.0,USD,6419310306.0,,635.443,"410,797.67",270.0,,,,"Silver Lake, Saudi Arabia's Public Investment Fund, TPG, Mubadala, General Atlantic"
1329,Tybourne Capital Management,"Hong Kong, Hong Kong Island, Hong Kong",Active,,20.0,5.0,2.0,5.0,,,"Financial Services, Lending and Investments",Venture Capital,,,,,,,,,,,,,,,,252,,0.0,,,,
1330,Green Bay Ventures,"San Francisco, California, United States",Active,,43.0,4.0,3.0,8.0,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Financial Services, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
1331,Hard Yaka,"Crystal Bay, Nevada, United States",Active,,93.0,5.0,23.0,22.0,,,"Financial Services, Information Technology, Payments, Privacy and Security","Identity Management, Payments",,,,,,,,,,,,,,,,5.044,"3,509.17",9.0,,,,
1332,Signal Peak Ventures,"Salt Lake City, Utah, United States",Active,,69.0,30.0,10.0,12.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,3.203,,0.0,,,,
1333,Fasset,"London, England, United Kingdom",Active,For Profit,,,,,2.0,5.0,"Financial Services, Other, Payments, Software","Asset Management, Blockchain, Cryptocurrency, Financial Services, FinTech",3.0,Early Stage Venture,2022-04-15,22000000.0,USD,22000000.0,Series A,Series A,22000000.0,USD,22000000.0,26700000.0,USD,26700000.0,,107.573,"25,498.5",1.016,,,,"Ceras Ventures, Soma Capital, Fatima Gobi Ventures, MyAsia VC, Liberty City Ventures"
1334,SymphonyAI,"Palo Alto, California, United States",Active,For Profit,5.0,1.0,3.0,,,,"Artificial Intelligence, Biotechnology, Commerce and Shopping, Consumer Goods, Data and Analytics, Health Care, Information Technology, Manufacturing, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence, Consumer Goods, Health Care, Industrial Manufacturing, Information Technology, Life Science, Machine Learning, Media and Entertainment, Retail, Software",,,,,,,,,,,,,,,,1.269,"2,433.67",4.0,1980296.0,USD,1980296.0,
1335,Christian Faes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,Dylan Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,Mubadala,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Active,For Profit,48.0,19.0,4.0,12.0,,,Financial Services,"Asset Management, Financial Services, FinTech",,,,,,,,,,,,,,,,62.365,"56,132.33",252.0,,,,
1338,Index Ventures,"San Francisco, California, United States",Active,,1.046,403.0,115.0,224.0,,,"Financial Services, Information Technology, Lending and Investments, Privacy and Security","Angel Investment, Cyber Security, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,10.0,25.324,"33,924.83",154.0,,,,
1339,The New York Times,"New York, New York, United States",Active,For Profit,36.0,3.0,5.0,11.0,,1.0,"Advertising, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Internet, News, Publishing",1.0,IPO,2009-01-20,250000000.0,USD,250000000.0,Post-IPO Debt,,,,,250000000.0,USD,250000000.0,14.0,"1,038,439,738","482,569,795.67",856.0,,,,Carlos Slim
1340,Elevate Capital,"Portland, Oregon, United States",Active,,36.0,17.0,23.0,3.0,,,"Financial Services, Professional Services","Business Development, Finance, Financial Services",,,,,,,,,,,,,,,,294,,12.0,,,,
1341,Valar Ventures,"New York, New York, United States",Active,,128.0,74.0,18.0,14.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
1342,PagerDuty,"San Francisco, California, United States",Active,For Profit,1.0,,1.0,,7.0,16.0,"Information Technology, Internet Services, Software","Cloud Computing, Information Technology, IT Management, SaaS, Software",7.0,IPO,2018-09-06,90000000.0,USD,90000000.0,Series D,Series D,90000000.0,USD,90000000.0,173600000.0,USD,173600000.0,52.0,"3,405,897","3,507,880.33",1.124,30765052.0,USD,30765052.0,"Andreessen Horowitz, Y Combinator, T. Rowe Price, Accel, Bessemer Venture Partners"
1343,OLM Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,Licious,"Bengaluru, Karnataka, India",Active,For Profit,,,,,11.0,32.0,"Commerce and Shopping, Food and Beverage, Transportation","Delivery Service, E-Commerce, Food and Beverage, Food Delivery",10.0,Late Stage Venture,2022-03-15,11460000000.0,INR,150209487.0,Series F,Series F,11460000000.0,INR,150209487.0,488709487.0,USD,488709487.0,,"1,137,872","1,141,032.33",558.0,,,,"Temasek Holdings, Vertex Ventures, 3one4 Capital, Mayfield Fund, IIFL Finance"
1345,ParaFi Capital,"Greenwich, Connecticut, United States",Active,,76.0,17.0,1.0,1.0,1.0,5.0,"Financial Services, Lending and Investments, Other","Blockchain, Finance, Financial Services, Venture Capital",3.0,,2021-01-08,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,,4.242,,0.0,,,,"Dragonfly Capital Partners, Augmentum Fintech, 9Yards Capital, Bain Capital Ventures, Mark Ladd"
1346,Chalo,"Mumbai, Maharashtra, India",Active,For Profit,,,,,4.0,11.0,"Apps, Data and Analytics, Information Technology, Other, Software, Transportation","Apps, Big Data, Information Services, Information Technology, Real Time, Transportation",6.0,,2022-04-05,13890000.0,USD,13890000.0,Venture - Series Unknown,Venture - Series Unknown,13890000.0,USD,13890000.0,60890000.0,USD,60890000.0,,54.794,49.802,112.0,,,,"Matrix Partners, Kalaari Capital, Lightrock, Trifecta Capital Advisors, Raine Ventures"
1347,Holtzbrinck Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,KSV Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,Aura,"Boston, Massachusetts, United States",Active,For Profit,,,,,4.0,6.0,"Information Technology, Privacy and Security","Cyber Security, Information Technology, Network Security, Security",3.0,Late Stage Venture,2021-10-19,200000000.0,USD,200000000.0,Series F,Series F,200000000.0,USD,200000000.0,500000000.0,USD,500000000.0,,609.767,"235,135.67",560.0,,,,"Warburg Pincus, General Catalyst, Accel, WndrCo, Madrone Capital Partners"
1350,Prosus & Naspers,"Amsterdam, Noord-Holland, The Netherlands",Active,For Profit,55.0,40.0,8.0,18.0,,,"Commerce and Shopping, Financial Services, Food and Beverage, Internet Services, Transportation, Travel and Tourism","Classifieds, FinTech, Food Delivery, Internet, Travel",,IPO,,,,,,,,,,,,,4.0,,,,,,,
1351,Patrick Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,Global Data Consortium,"Raleigh, North Carolina, United States",Active,For Profit,,,,,1.0,4.0,"Data and Analytics, Information Technology, Internet Services, Mobile, Platforms, Software","Analytics, Information Services, Information Technology, Internet, iOS, Software",4.0,M&A,2021-03-24,,,,Venture - Series Unknown,Venture - Series Unknown,,,,3600000.0,USD,3600000.0,3.0,577,,0.0,,,,"Village Capital, Refinitiv, VilCap Investments, FinRise"
1353,Sophos,"Abingdon, Oxfordshire, United Kingdom",Active,For Profit,,,,,,1.0,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Network Security, Software",2.0,M&A,2021-08-24,65229600.0,USD,65229600.0,Post-IPO Equity,Post-IPO Equity,65229600.0,USD,65229600.0,125010656.0,USD,125010656.0,57.0,"5,024,336","4,829,542.67",633.0,,,,TA Associates
1354,Rainmatter Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,Filevine,"Salt Lake City, Utah, United States",Active,For Profit,,,,,2.0,6.0,"Administrative Services, Apps, Information Technology, Other, Professional Services, Software","Apps, Document Management, Legal Tech, Project Management, SaaS",6.0,Late Stage Venture,2022-04-14,108000000.0,USD,108000000.0,Series D,Series D,108000000.0,USD,108000000.0,226079977.0,USD,226079977.0,2.0,"3,663,521","1,982,665.67",3.384,383482.0,USD,383482.0,"StepStone Group, Golub Capital, Album VC, Signal Peak Ventures, Meritech Capital Partners"
1356,Swicorp,"Riyadh, Ar Riyad, Saudi Arabia",Active,,7.0,4.0,1.0,2.0,,,"Financial Services, Lending and Investments, Real Estate","Asset Management, Finance, Financial Services, Real Estate Investment, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
1357,BlueVoyant,"New York, New York, United States",Active,For Profit,,,,,4.0,8.0,"Information Technology, Privacy and Security, Software","Cyber Security, Network Security, Security, Software",4.0,Late Stage Venture,2022-02-23,250000000.0,USD,250000000.0,Series D,Series D,250000000.0,USD,250000000.0,525500000.0,USD,525500000.0,2.0,15.789,"11,947.5",205.0,1584787.0,USD,1584787.0,"8VC, Temasek Holdings, Liberty Strategic Capital, Fiserv, Eden Global Partners"
1358,Zaffiro Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,Fuel Venture Capital,"Miami, Florida, United States",Active,,21.0,12.0,9.0,,,,"Financial Services, Lending and Investments",Venture Capital,,,,,,,,,,,,,,,,,,,,,,
1360,Headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,Arena.im,"San Francisco, California, United States",Active,For Profit,,,,,3.0,10.0,"Commerce and Shopping, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Other, Software","B2B, E-Commerce, Enterprise Software, Publishing, Real Time, Social Media, Social Shopping, Video Chat, Web Development",5.0,Early Stage Venture,2022-03-30,13600000.0,USD,13600000.0,Series A,Series A,13600000.0,USD,13600000.0,16000000.0,USD,16000000.0,,146.912,"55,135.33",281.0,,,,"Techstars, Craft Ventures, Right Side Capital Management, Incubate Fund, CRV"
1362,Circle,"Boston, Massachusetts, United States",Active,For Profit,9.0,2.0,,,7.0,42.0,"Financial Services, Lending and Investments, Other, Payments, Software","Banking, Blockchain, Cryptocurrency, Financial Services, FinTech",11.0,Private Equity,2022-04-12,400000000.0,USD,400000000.0,Private Equity,Private Equity,400000000.0,USD,400000000.0,1111000000.0,USD,1111000000.0,11.0,511.03,316.81,302.0,5481864.0,USD,5481864.0,"Broslyn Capital, Alumni Ventures, Digital Currency Group, Blockchain Capital, CICC"
1363,Airbnb,"San Francisco, California, United States",Active,For Profit,18.0,12.0,1.0,2.0,15.0,82.0,"Apps, Commerce and Shopping, Mobile, Software, Travel and Tourism","Hospitality, Marketplace, Mobile Apps, Travel, Travel Accommodations",33.0,IPO,2020-06-03,,,,Secondary Market,Private Equity,1000000000.0,USD,1000000000.0,5975632100.0,USD,5975632100.0,32.0,"101,328,149","70,601,232",876.0,267686212.0,USD,267686212.0,"Apollo, Citi, Silver Lake, Sequoia Capital, Andreessen Horowitz"
1364,Season Health,"Austin, Texas, United States",Active,For Profit,,,,,1.0,8.0,"Food and Beverage, Health Care, Other","Consumer, Food and Beverage, Nutrition, Wellness",3.0,Early Stage Venture,2022-04-04,34000000.0,USD,34000000.0,Series A,Series A,34000000.0,USD,34000000.0,36550000.0,USD,36550000.0,,9.664,"3,651.67",151.0,,,,"Andreessen Horowitz, Company Ventures, LRVHealth, Springbank Collective, Toyin Ajayi"
1365,Volkswagen Group,"Wolfsburg, Niedersachsen, Germany",Active,For Profit,24.0,16.0,,4.0,,,"Design, Transportation","Automotive, Autonomous Vehicles, Electric Vehicle, Product Design",,IPO,,,,,,,,,,,,,16.0,562.923,"547,491.5",585.0,,,,
1366,eToro,"Tel Aviv, Tel Aviv, Israel",Active,For Profit,2.0,1.0,,,7.0,28.0,"Financial Services, Internet Services, Lending and Investments, Media and Entertainment","Finance, FinTech, Social Media, Trading Platform",16.0,Private Equity,2021-03-16,,,,Private Equity,Private Equity,,,,322700000.0,USD,322700000.0,16.0,"120,812,696","127,097,320.17",856.0,,,,"Liquidity, Digital Currency Group, Spark Capital, Ping An, Anthemis Group"
1367,Zume,"Camarillo, California, United States",Active,For Profit,,,,,3.0,10.0,"Food and Beverage, Manufacturing, Other, Transportation","Consumer, Food and Beverage, Food Delivery, Manufacturing",7.0,Private Equity,2018-11-02,375000000.0,USD,375000000.0,Private Equity,Private Equity,375000000.0,USD,375000000.0,423000000.0,USD,423000000.0,,2.542,"6,601.33",2.509,,,,"SoftBank Vision Fund, SignalFire, FJ Labs, AME Cloud Ventures, Maveron"
1368,Storm Ventures,"Menlo Park, California, United States",Active,,248.0,69.0,32.0,57.0,,,"Financial Services, Lending and Investments, Software","Enterprise Software, Financial Services, Venture Capital",,,,,,,,,,,,,,,2.0,4.437,"5,781.67",14.0,492912.0,USD,492912.0,
1369,Thomvest Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,Mischief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,Streamlit,"San Francisco, California, United States",Active,For Profit,,,,,3.0,9.0,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence, Big Data, Developer Tools, Machine Learning, Software",3.0,M&A,2021-04-07,35000000.0,USD,35000000.0,Series B,Series B,35000000.0,USD,35000000.0,62000000.0,USD,62000000.0,,676.14,623.707,688.0,,,,"Sequoia Capital, Elad Gil, Gradient Ventures, GGV Capital, Bloomberg Beta"
1372,Connecticut Innovations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,Avail Finance,"Bangalore, Karnataka, India",Active,For Profit,,,,,4.0,8.0,"Financial Services, Mobile, Payments, Software","Finance, FinTech, Mobile Payments",5.0,M&A,2021-05-03,240000000.0,INR,3250374.0,Debt Financing,Series B,870000000.0,INR,11792653.0,41443027.0,USD,41443027.0,,1.288,"19,128.67",995.0,,,,"Alpha Wave Global, Kunal Shah, Matrix Partners India, Alteria Capital, Binny Bansal"
1374,ClassPass,"New York, New York, United States",Active,For Profit,,,,,10.0,45.0,"Apps, Health Care, Other, Software, Sports","Consumer Applications, Fitness, Health Care, Subscription Service, Wellness",12.0,M&A,2020-01-08,285000000.0,USD,285000000.0,Series E,Series E,285000000.0,USD,285000000.0,549243000.0,USD,549243000.0,3.0,"1,974,667","1,887,711.5",677.0,15597.0,USD,15597.0,"Techstars, General Catalyst, GV, BoxGroup, M13"
1375,Aviatrix,"Santa Clara, California, United States",Active,For Profit,,,,,4.0,12.0,"Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Infrastructure, Enterprise Software, Information Technology, Security, Software",6.0,Late Stage Venture,2021-09-08,200000000.0,USD,200000000.0,Series E,Series E,200000000.0,USD,200000000.0,340800000.0,USD,340800000.0,10.0,384.744,"162,928.17",720.0,,,,"General Catalyst, Insight Partners, Tiger Global Management, TCV, CRV"
1376,Partners Group,"Baar, Zug, Switzerland",Active,For Profit,46.0,21.0,1.0,20.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1.0,IPO,2015-03-06,500000000.0,USD,500000000.0,Post-IPO Equity,Post-IPO Equity,500000000.0,USD,500000000.0,500000000.0,USD,500000000.0,1.0,51.371,"44,653.33",290.0,3687008.0,USD,3687008.0,
1377,Siemens,"Munich, Bayern, Germany",Active,For Profit,29.0,13.0,3.0,11.0,,1.0,"Consumer Electronics, Hardware, Health Care","Consumer Electronics, Electronics, Medical",2.0,IPO,2018-03-15,4200000000.0,EUR,5169148062.0,Post-IPO Equity,Post-IPO Equity,4200000000.0,EUR,5169148062.0,5178048063.0,USD,5178048063.0,65.0,"10,191,296","8,634,543.5",599.0,11685000.0,USD,11685000.0,US Department of Energy
1378,Maverick Ventures,"San Francisco, California, United States",Active,,175.0,51.0,33.0,34.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,6.479,"2,677.83",173.0,,,,
1379,United Internet Ventures,"Montabaur, Rheinland-Pfalz, Germany",Active,For Profit,9.0,3.0,,2.0,1.0,1.0,Internet Services,"Internet, ISP, Web Hosting",1.0,Private Equity,2016-11-08,450000000.0,EUR,495703899.0,Private Equity,Private Equity,450000000.0,EUR,495703899.0,450000000.0,EUR,495703900.0,1.0,71.883,"29,232.5",267.0,29985200.0,USD,29985200.0,Warburg Pincus
1380,Sierra Oncology,"San Mateo, California, United States",Active,For Profit,,,,,3.0,12.0,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Life Science, Therapeutics",13.0,M&A,2022-01-31,135000000.0,USD,135000000.0,Post-IPO Equity,Post-IPO Equity,135000000.0,USD,135000000.0,494131452.0,USD,494131452.0,,5.757,"7,222.17",1.229,,,,"RA Capital Management, OrbiMed, Vivo Capital, Frazier Healthcare Partners, Capital Midwest Fund"
1381,Visionaries Club,"Berlin, Berlin, Germany",Active,For Profit,30.0,6.0,,,,,"Financial Services, Lending and Investments","Angel Investment, Financial Services, Venture Capital",,,,,,,,,,,,,,,,3.496,"2,001.33",0.0,,,,
1382,Cowen Digital,,Active,,1.0,,,,,,Financial Services,Finance,,,,,,,,,,,,,,,,,,,,,,
1383,Hannover Re,"Hanover, Niedersachsen, Germany",Active,For Profit,9.0,2.0,1.0,,,,Financial Services,"Financial Services, Health Insurance, Insurance",,IPO,,,,,,,,,,,,,2.0,151.99,"31,089.83",475.0,,,,
1384,Praveen Sinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,DailyPay,"New York, New York, United States",Active,For Profit,,,,,3.0,13.0,"Administrative Services, Financial Services, Health Care, Software","Employee Benefits, Financial Services, FinTech, Software",11.0,Late Stage Venture,2022-03-17,300000000.0,USD,300000000.0,Debt Financing,Series D,175000000.0,USD,175000000.0,814000000.0,USD,814000000.0,2.0,"4,075,816","1,514,135.67",473.0,,,,"Barclays, Fin Venture Capital, Evolution VC Partners, Sand Hill Angels, RPM Ventures"
1386,MURAL,"San Francisco, California, United States",Active,For Profit,,,,,6.0,15.0,"Design, Other, Software","Collaboration, Enterprise Software, Product Design, Software",5.0,Late Stage Venture,2021-07-20,50000000.0,USD,50000000.0,Series C,Series C,50000000.0,USD,50000000.0,192275000.0,USD,192275000.0,15.0,"3,437,630","3,591,234.83",516.0,782814.0,USD,782814.0,"500 Startups, Insight Partners, Tiger Global Management, Gradient Ventures, Slack Fund"
1387,Diligent Robotics,"Austin, Texas, United States",Active,For Profit,,,,,6.0,17.0,"Artificial Intelligence, Data and Analytics, Design, Hardware, Health Care, Science and Engineering, Software","Artificial Intelligence, Health Care, Human Computer Interaction, Machine Learning, Robotics, Software",6.0,Early Stage Venture,2022-04-11,30000000.0,USD,30000000.0,Series B,Series B,30000000.0,USD,30000000.0,45875000.0,USD,45875000.0,,8.251,"6,319.33",215.0,,,,"Gaingels, Tiger Global Management, National Science Foundation, Next Coast Ventures, Capital Factory"
1388,BlueRun Ventures,"Menlo Park, California, United States",Active,,289.0,93.0,24.0,38.0,,,"Financial Services, Information Technology, Lending and Investments","Financial Services, FinTech, Information Technology, Venture Capital",,,,,,,,,,,,,,,2.0,9.295,"4,238.83",537.0,,,,
1389,Valor Equity Partners,"Chicago, Illinois, United States",Active,,145.0,49.0,24.0,11.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1.0,9.635,"10,726.67",516.0,,,,
1390,WinZO,"New Delhi, Delhi, India",Active,For Profit,2.0,,,,5.0,14.0,"Gaming, Media and Entertainment, Sports","Digital Entertainment, eSports, Gaming, Media and Entertainment, Online Games",6.0,Late Stage Venture,2021-07-02,65000000.0,USD,65000000.0,Series C,Series C,65000000.0,USD,65000000.0,110500000.0,USD,110500000.0,,"1,491,983","1,251,670.33",471.0,,,,"Kalaari Capital, Makers Fund, Griffin Gaming Partners, Courtside Ventures, Hike"
